years,customer_id,payment,d_rank
2016,a9dc96b027d1252bbac0a9b72d837fc6,14235.50048828125,1
2016,1d34ed25963d5aae4cf3d7f3a4cda173,14007.39990234375,2
2016,4a06381959b6670756de02e07b83815f,12277.80029296875,3
2017,1617b1357756262bfa56ab541c47bc16,136640.80078125,1
2017,c6e2731c5b391845f6800c97401a43a9,69293.1005859375,2
2017,3fd6777bbce08a352fddd04e4a7cc8f6,67266.6015625,3
2018,ec5b2ba62e574342386871631fafd3fc,72748.798828125,1
2018,f48d464a0baaea338cb25f816991ab1f,69222.099609375,2
2018,e0a2412720e9ea4f26c1ac985f6a7358,48094.3994140625,3
